Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
a17ab26c-50cd-555b-cb42-5f8daffa23c1,2020-04-04,,999-89-7440,,,,Margaretta466,Alyssa971,Russel238,,,,white,nonhispanic,F,Wrentham  Massachusetts  US,1056 Jenkins Highlands,Holyoke,Massachusetts,Hampden County,25013,01040,42.249173967409796,-72.64210002903089,22951.27,238.78,140423
752ae665-b528-3466-2d22-7ca7f7886f9f,1977-01-04,,999-33-6425,S99943464,X1160579X,Mr.,Clint766,Diego848,Monahan736,,,S,white,nonhispanic,M,Easton  Massachusetts  US,809 Jaskolski Knoll,Lowell,Massachusetts,Middlesex County,25017,01854,42.642250252155264,-71.36515620590818,441174.20,316952.44,108780
e26c0ddf-891a-70db-201c-0f32aee38259,2006-01-30,,999-87-7745,S99965505,X83820340X,Mr.,Gerry91,Dorian295,Johnson679,,,,black,nonhispanic,M,Braintree  Massachusetts  US,1045 Lueilwitz Drive Unit 89,Boston,Massachusetts,Suffolk County,25025,02129,42.46432408712774,-71.02724810688808,3636.27,62739.22,13772
274a93a3-229c-1e46-fb17-f24d2115568d,2009-02-23,,999-66-5770,S99931233,,,Marcos263,Gregorio366,Lerma517,,,,white,hispanic,M,Kingston  Kingston  JM,237 Ondricka Rapid Unit 12,Milford,Massachusetts,Worcester County,25027,01757,42.137824699005684,-71.56712389554936,27329.91,25283.03,71867
76569e42-9fff-234c-fa01-f1b1ede1660e,1998-08-24,,999-73-5976,S99953188,X25874046X,Mr.,Mark765,Javier97,Dicki44,,,,white,nonhispanic,M,Chicopee  Massachusetts  US,187 Krajcik Quay,Milton,Massachusetts,Norfolk County,25021,02186,42.21192754679651,-71.09065876799853,8508.44,102761.29,16425
79ea0a26-87fc-029c-7707-3cd7b7941cda,1973-08-04,,999-82-6922,S99934531,X79586531X,Mr.,Jacobo456,Ricardo560,Guajardo157,,,S,white,hispanic,M,Roseau  Saint George  DM,227 Macejkovic Plaza Apt 71,Westborough,Massachusetts,Worcester County,25027,01581,42.307368332463504,-71.63122224552161,78579.87,752403.71,26197
24d4203b-64ee-9110-a6c6-ed0637cca0c9,1983-09-18,,999-89-6238,S99938381,X26028548X,Mrs.,Arlette667,Ceola914,Hegmann834,,Harris789,M,white,nonhispanic,F,Holyoke  Massachusetts  US,667 Boyer Terrace Unit 54,Sagamore,Massachusetts,Barnstable County,25001,02561,41.806161303078795,-70.54780608322365,14793.66,807616.52,10394
272307aa-b926-af16-6c3c-4d588ffdbe36,2023-02-21,,999-17-8639,,,,Angelena945,Tabetha269,Barton704,,,,white,nonhispanic,F,Fairhaven  Massachusetts  US,298 Hermann Bay,Bridgewater,Massachusetts,Plymouth County,25023,02324,41.97080106321545,-71.00032508214657,7759.18,0.00,42177
8ca318c9-94d3-fda9-b84c-dc3fab8df966,1959-10-23,,999-38-6502,S99962388,X44975699X,Mr.,Sol312,Marcel580,Schuster709,,,D,white,nonhispanic,M,Brockton  Massachusetts  US,521 Prosacco Meadow Suite 1,Brockton,Massachusetts,Plymouth County,25023,02301,42.08342168353229,-70.95761647817085,128351.72,254165.25,41522
8a9b5e81-53d2-a4f1-545d-4642f631db0c,1999-07-13,,999-47-2574,S99987738,X15562498X,Ms.,Lina528,Shanel903,Cassin499,,,,white,nonhispanic,F,Worcester  Massachusetts  US,701 Batz Spur,Cambridge,Massachusetts,Middlesex County,25017,02139,42.40924513919212,-71.10749652871986,6972.28,271168.02,10966
6549d783-cbd2-a103-15a4-66ee9103e4e7,1985-10-03,,999-72-1981,S99971352,X12245060X,Mr.,Alfonzo975,Ramon749,King743,,,W,white,nonhispanic,M,Pembroke  Massachusetts  US,195 Beahan Route Unit 29,Wilbraham,Massachusetts,Hampden County,25013,01095,42.15614416246301,-72.45141857683417,87204.21,13670.00,306113
925eb077-8574-14ec-06fe-fe02633c9b6a,1990-02-28,,999-63-4633,S99911545,X2782914X,Mr.,Grady603,Sonny285,Cole117,,,M,white,nonhispanic,M,Haverhill  Massachusetts  US,511 Hahn Loaf Suite 46,Brookline,Massachusetts,Norfolk County,25017,02467,42.36711623641975,-71.15086940388863,82826.07,11879.07,803332
f2082ad8-779e-4309-076d-9fcdd51c2d15,2020-02-21,,999-56-1507,,,,Gino587,Caleb651,Halvorson124,,,,white,nonhispanic,M,New Bedford  Massachusetts  US,161 Gleichner Promenade,Bellingham,Massachusetts,Norfolk County,25021,02019,42.030124240559275,-71.49374217886376,8310.13,18856.35,128283
7668547c-49ba-63c4-1f05-5084c7320303,1978-01-30,,999-35-7836,S99928308,X84893291X,Mr.,Xavier983,Lowell343,Boehm581,,,M,black,nonhispanic,M,Worcester  Massachusetts  US,238 Bechtelar Forge,Easton,Massachusetts,Bristol County,,00000,42.08850958291487,-71.06141120058929,91159.61,137948.44,58499
369005e8-902a-c99e-3194-c17e502849ef,1963-08-01,,999-64-2039,S99943682,X3523915X,Ms.,Meagan221,Vonda514,Barrows492,,,S,white,nonhispanic,F,Brockton  Massachusetts  US,117 Durgan Parade Suite 5,Groton,Massachusetts,Middlesex County,25017,01450,42.58363618860753,-71.53846018755631,13595.86,621977.41,19330
611c6e02-690b-7b34-524f-2f83a207d088,1998-11-03,,999-69-6643,S99915075,X38765210X,Mr.,Dino214,Moshe758,Harber290,,,,white,nonhispanic,M,Pittsfield  Massachusetts  US,397 Gibson Light,Swansea,Massachusetts,Bristol County,,00000,41.70902842652051,-71.18489486787766,5659.74,81859.79,13257
a9ffe7be-f66a-78b6-321b-f2e9c13654a1,2003-08-16,,999-17-6462,S99984124,X31870506X,Mr.,Branden904,Willy639,Cormier289,,,,white,nonhispanic,M,Plymouth  Massachusetts  US,1042 Miller Harbor Apt 21,Norton Center,Massachusetts,Bristol County,,00000,42.011111066693225,-71.14180290580734,90576.05,592614.46,38612
fd995a66-5fcf-46d9-8c6a-f170876abba6,1971-10-19,2024-03-30,999-22-5000,S99917018,X22023629X,Mr.,Hai304,,Beahan375,,,S,asian,nonhispanic,M,Boston  Massachusetts  US,480 Johnston Glen,Boston,Massachusetts,Suffolk County,25017,02467,42.27685341825537,-71.12734879127795,206742.43,698171.44,152121
073d7d90-51c7-72c3-6f59-b278d4d9f017,1991-07-12,,999-67-5267,S99919274,X79748654X,Mr.,Andreas188,Micah422,Koch169,,,M,white,nonhispanic,M,Dartmouth  Massachusetts  US,749 Conroy Grove,Braintree,Massachusetts,Norfolk County,25021,02184,42.165314106678736,-71.03871968453967,236288.85,709578.69,39894
09c49227-fdab-7f55-cc28-5478c1503b54,1999-11-05,,999-86-3136,S99934306,X45127392X,Mr.,Darron84,Noble66,Mitchell808,,,,white,nonhispanic,M,Attleboro  Massachusetts  US,391 Windler Wynd,Dartmouth,Massachusetts,Bristol County,,00000,41.54200559535124,-70.93098183233633,85235.62,173443.73,72361
d3ae2822-dcba-3b31-3031-a91d99aa1c7d,2018-03-14,,999-32-2708,,,,Estrella224,Corey514,Funk324,,,,white,nonhispanic,F,Needham  Massachusetts  US,483 Weimann Lodge,Boston,Massachusetts,Suffolk County,25025,02126,42.2897177676834,-71.1093022521443,21711.65,9988.49,45362
a0d75533-b4f1-ad93-79fe-4a021641d6cc,1968-03-03,,999-89-1010,S99943753,X60681949X,Ms.,Beth967,Nakisha629,Abshire638,,,S,white,nonhispanic,F,Holland  Massachusetts  US,178 Cole Branch,Worcester,Massachusetts,Worcester County,25027,01609,42.250605547101415,-71.8556432920985,526074.01,317003.57,45873
c0d8242c-647d-8072-db44-5b7c886b8178,2003-03-24,,999-93-7171,S99933724,X34338587X,Ms.,Estela596,Clara183,Delagarza9,,,,white,hispanic,F,Panama City  Panama  PA,828 Torp Crossroad Apt 31,Boston,Massachusetts,Suffolk County,25025,02128,42.35358690853559,-71.06680458848608,109846.91,117402.40,49351
55cf7458-28f9-ae76-5368-f02f829e9c73,1926-02-15,1988-09-17,999-86-2510,S99924975,X58096559X,Mr.,Sal878,Bud153,Koss676,,,M,white,nonhispanic,M,Newton  Massachusetts  US,1067 Bogisich Avenue,Brookline,Massachusetts,Norfolk County,25021,02446,42.391501344609594,-71.07570722781483,13887.30,231714.79,16390
3c6c898d-fa88-603f-49b7-f32594c78033,1954-02-14,,999-76-4843,S99932348,X59895415X,Mrs.,Alexa171,Tran115,Schaden604,,Labadie908,D,white,nonhispanic,F,Springfield  Massachusetts  US,647 Jast Haven Unit 24,Belchertown,Massachusetts,Hampshire County,25015,01007,42.3134000136084,-72.41024277000123,289361.94,197000.93,61027
